Id,SalePrice
1461,105001.28373755887
1462,152235.10212996276
1463,174059.02728071576
1464,192576.92805549456
1465,222431.77602177532
1466,188666.5049078497
1467,181465.1983994993
1468,183299.38977994816
1469,205075.74027265166
1470,106419.89144949615
1471,212090.1921598292
1472,124330.46777242096
1473,110462.50805368554
1474,172359.7005078001
1475,147537.9159294914
1476,321136.85959404823
1477,266120.0647292498
1478,293478.64989388245
1479,282665.90546878986
1480,363191.7747094841
1481,295941.158980384
1482,235829.14612476365
1483,193343.85614056303
1484,201298.8621289949
1485,192436.43765425566
1486,218953.05963956914
1487,302682.0657328246
1488,267438.36691663275
1489,208079.0085799473
1490,203003.6162793762
1491,215346.6084631977
1492,96149.5090915244
1493,190325.27025996265
1494,285234.55761867855
1495,283320.8664881978
1496,223562.4802629971
1497,216474.44233275927
1498,189892.86488368898
1499,190198.9024512691
1500,172553.96840291843
1501,185631.11858493183
1502,182487.68718040828
1503,263130.5675683846
1504,244305.78524742532
1505,222473.33793504979
1506,207242.9011071301
1507,237148.68384415586
1508,201572.52674471564
1509,175234.44794701366
1510,147232.52103731572
1511,145689.64268181077
1512,166406.94035408064
1513,172972.14481314993
1514,156866.5830102791
1515,206697.4155805707
1516,161655.9263145423
1517,154687.46589539386
1518,167981.17567235674
1519,224030.29904440697
1520,120846.71888723434
1521,125072.8639479652
1522,178469.1679244421
1523,101026.09139117016
1524,107185.90462493128
1525,107272.89086061367
1526,109923.34468903905
1527,100116.93155837595
1528,147522.51453558472
1529,140254.57168969885
1530,182453.3834128289
1531,107376.18505350105
1532,78903.50408989633
1533,150215.47137583513
1534,145538.2796117328
1535,152417.6566692933
1536,114492.31119559472
1537,50262.47612680984
1538,193150.9318949529
1539,224373.8706001849
1540,132110.54810322146
1541,164404.32990685757
1542,147354.52540779673
1543,205250.22358644055
1544,65829.54460834642
1545,120132.68467686791
1546,139040.43702024943
1547,120687.7899706855
1548,138539.42420839146
1549,120062.75993330078
1550,140589.02195805614
1551,125900.52986563114
1552,135526.18002037844
